0,1,2
,,NCO 2015
Division,1,Managers
Sub-,11,"Chief Executives, Senior Officials and Legislators"
Division,,
Group,111,Legislators and Senior Officials
Family,1111,Legislators
,1111.0100,"Elected Official, Union Government"
,1111.0200,"Elected Official, State Government"
,1111.0300,"Elected Official, Local Bodies"
,1111.9900,"Legislators, Other"
Family,1112,Senior Government Officials
,1112.0100,"Administrative Official, Union Government"
,1112.0200,Diplomat
,1112.0300,"Executive Officials, Union Government"
,1112.0400,"Administrative Official, State Government"
,1112.0500,"Executive Official, State Government"
,1112.0600,"Administrative and Executive Officials, Quasi"
,,Government (Central)
,1112.0700,"Administrative & Executive Officials, Quasi"
,,Government (State)
,1112.0800,"Administrative and Executive Officials, Local"
,,Bodies
,1112.9900,"Senior Government Officials, Other"
Family,1113,Traditional Chiefs and Heads of Villages
,,NCO 2015
Family,1114,Senior Officials of Special Interest Organizations
,1114.0100,Political Worker
,1114.0200,"Senior Officials of Employers, Workers and Other"
,,Economic Interest Organizations
,1114.0300,"Director, Disaster Management Services"
,1114.9900,"Senior Officials of Special Interest Organizations,"
,,Other
Group,112,Managing Directors and Chief Executives
Family,1120,Managing Directors and Chief Executives
,1120.0100,"Working Proprietor, Electricity"
,1120.0200,"Working Proprietor, Gas"
,1120.0300,"Working Proprietor, Water Supply"
,1120.0400,"Director, Electricity"
,1120.0500,"Director, Gas"
,1120.0600,"Director, Water Supply"
,1120.0700,"Director, Bank"
,1120.0800,"Director, Insurance"
,1120.0900,"Working Proprietor, Mines/Proprietor, Mines"
,1120.1000,"Working Proprietor, Quarry/Proprietor, Quarry"
,1120.1100,"Working Proprietor, Well Drilling/Proprietor,"
,,Well Drilling
,1120.1200,"Working Proprietor, Construction/Proprietor,"
,,Construction
,NCO 2015,NCO 2004
1120.1300,"Director, Construction",1213.50
1120.1400,"Director, Mines",1213.60
1120.1500,"Director, Quarry",1213.70
1120.1600,"Director, Well Drilling",1213.80
1120.1700,"Working Proprietor, Manufacturing/Proprietor,",1214.10
,Manufacturing,
1120.1800,Director Manufacturing,1214.20
1120.1900,"Working Proprietor, Wholesale Trade/Proprietor,",1214.30
,Wholesale Trade,
1120.2000,"Working Proprietor, Retail Trade/Proprietor,",1214.40
,Retail Trade,
1120.2100,"Director, Wholesale Trade",1214.50
1120.2200,"Director, Retail Trade",1214.60
1120.2300,"Working Proprietor, Transport",1215.10
1120.2400,"Director, Transport",1215.20
1120.2500,"Director, Communication",1215.30
1120.2600,"Director, Airport",1215.40
1120.2700,"Working Proprietor, Storage and Warehousing",1216.10
